HIRESName,FILENAME,RV
190406,r20180625.119,861.0936456078952
355183,r20060718.257,9.087361960616137
195019,r20150707.139,307.55410471532315
HIP11000,,
178251,r20080616.147,-33.254889473907326
210302,,
HIP116838,,
HIP113026,,
HIP85977,,
149143,r20050629.54,157.17458046944182
172051,r20120903.63,-7.284261100131644
183263,,
HTR189-001,,
HTR294-009,,
HTR213-002,,
HTR239-008,,
HTR173-008,,
HTR176-001,,
158633,r20160716.93,-8.64481510316374
217591,r20101225.60,27.211482856752237
220339,r20071024.158,-6.758183450884048
4915,r20061214.160,14.897185713119368
1293,r20120827.122,193.5588460073885
HIP10416,,
HIP22907,,
61005,r20120105.142,55.80543068870558
217496,r20070827.165,-18.483943684576627
217681,r20090606.175,-16.62600898271114
219553,r20100802.135,-35.761359267399826
220122,r20110616.189,-34.56699408555525
221504,r20130702.132,83.53917268047064
224679,r20090107.95,56.035516113194596
223627,r20150630.151,-24.835109876066717
215908,r20070827.147,-11.33917964197421
225021,r20140726.128,-44.70874210897456
236427,r20100729.138,-7.175033050911836
10212,r20120313.44,-9797.690536310402
12137,r20130826.129,-358.77982088207017
8508,r20090905.132,67.84581215038514
11970,r20120824.170,4736.760701672466
9313,r20070827.219,8972.151507262894
6030,r20070827.206,-7751.242663901096
9156,r20120706.121,-421.79220241412463
6019,r20130818.154,3430.032117544903
6628,r20091029.167,-10451.13536437472
1100,r20120705.120,-14.61696603722976
3458,r20091030.156,2605.08699421795
5319,r20090801.117,-52.911628508671825
4395,r20120826.160,124.45091316032949
4917,r20111009.114,67.39572085328045
7530,r20091029.168,-20.07307426109173
7931,r20091029.169,-7.541673435768615
8407,r20100723.72,-24.59010132320418
9554,r20130825.151,1519.7085076614371
9625,r20100723.94,1925.461594800357
10011,r20120726.156,8671.283876563633
10383,r20091030.162,44.74174827134496
10479,r20071026.216,-718.3685735556849
10823,r20120901.96,-27.24478223506577
10909,r20090115.103,-3663.1691449416967
11288,r20120806.149,7941.240276490806
13167,r20130827.135,-49.088574273375635
15336,r20120806.141,294.6490180882993
15391,r20071026.220,670.6865544406053
15928,r20070827.245,-9.148799770864473
14787,r20091231.101,-27.00172667130329
16178,r20140908.112,281.2215751474292
23825,r20100329.68,-20.52268926188557
16984,r20130829.151,-916.6073624063284
18645,r20140811.129,-137.48503187550241
12164,r20071026.207,-14.12782376357786
17311,r20070827.238,-11.218097069904161
17620,r20100728.145,29.71912014866068
18015,r20070827.239,-45.931722283921175
18667,r20091029.188,4682.158544912986
18742,r20071224.216,-46.91645293706053
22233,r20130825.172,-86.2072613893019
22657,r20071224.221,-42.5832387947998
23134,r20070827.288,-14.600063754939132
24148,r20070827.287,42.78369338784458
24316,r20101002.171,-19.08251576652211
25622,r20140912.131,15.21797134324146
26007,r20120825.139,-31.692394601343032
26634,r20070827.296,-15.649567372505802
27956,r20131019.165,-16.36666320838597
27297,r20120827.148,21.07300040700534
28678,r20071026.252,-47.895805405461815
39731,r20110316.106,-15.130187354896721
26140,r20100824.239,-22.42498454010108
30166,r20071026.258,-63.17890632114172
22844,r20110316.80,27.10043031349296
31543,r20131022.177,-3924.655018756183
30128,r20100301.77,9.627537052286245
30856,r20131020.173,34.96796276309566
34909,r20071227.251,-8.709880512643139
200491,r20080727.125,-9.325813410445557
171264,r20120827.69,-2672.090041552189
193391,r20080727.100,48.032618456500884
188386,r20070827.160,51.63175187612011
180902,r20161126.72,1163.7067483605729
181342,r20080727.157,-60.980930364158134
192153,r20100604.184,-6.505277190029062
195824,r20101122.86,29.71688379087156
196645,r20090505.137,31.891841765031128
208585,r20110823.80,-16.8647618801507
200081,r20090606.168,-4670.422083729218
202867,r20120622.110,-10.458759677482108
206635,r20070801.200,-9.244325920849946
210521,r20080617.171,-9.478699237444744
212771,r20160728.106,53.01688024427108
213278,r20140809.96,16.956242548607786
215049,r20070827.216,-11.35703794009737
216834,r20100802.132,-1025.489715022066
212291,r20050821.211,20.59624952662497
217165,r20140908.97,-1692.04050222598
37008,r20150928.80,-10.286698254850851
48682,r20110119.115,17.354083800979712
50499,r20140119.172,36.22686248874287
HIP53541,,
39828,r20151222.105,-245.3554701604829
38505,r20150208.120,728.6752756927887
68988,r20140118.253,303.9146681234573
55575,,
40979,r20101122.185,137.04338413366509
87883,r20150205.109,57.12179117938955
178911B,,
187123,r20140811.62,-99.81378679514393
188015,r20111208.74,-46.816073780120895
